jefe_hogar,sexo,edad,migracion_venezuela,firma_contrato,trabajo_venezuela,estrato,ingreso_mensual,log_ingreso_mensual,horas_mensual
8,1,24.0,1,2.0,2.0,2,1200.0,7.090076835776092,192.0
11,1,40.0,1,2.0,1.0,3,2000.0,7.600902459542082,160.0
2,1,30.0,1,2.0,1.0,1,1920.0,7.560080465021827,360.0
2,2,41.0,1,1.0,1.0,1,900.0,6.802394763324311,180.0
1,1,30.0,1,1.0,1.0,2,1900.0,7.549609165154532,192.0
1,1,55.0,1,2.0,1.0,3,1800.0,7.495541943884256,432.0
2,2,44.0,1,2.0,1.0,3,3000.0,8.006367567650246,240.0
3,1,17.0,1,2.0,2.0,3,600.0,6.396929655216146,188.0
6,2,51.0,1,2.0,2.0,3,720.0,6.579251212010101,192.0
7,2,26.0,1,2.0,1.0,2,1300.0,7.170119543449628,192.0
11,1,28.0,1,2.0,1.0,2,240.0,5.480638923341991,264.0
1,1,27.0,1,2.0,1.0,3,1600.0,7.3777589082278725,260.0
2,2,27.0,1,2.0,2.0,3,1200.0,7.090076835776092,240.0
7,2,18.0,1,2.0,1.0,2,960.0,6.866933284461882,220.0
7,2,26.0,1,2.0,2.0,2,2800.0,7.937374696163295,392.0
8,2,38.0,1,2.0,2.0,2,480.0,6.173786103901937,224.0
1,1,23.0,1,2.0,1.0,4,2400.0,7.783224016336037,240.0
1,1,44.0,1,2.0,1.0,4,1120.0,7.02108396428914,192.0
3,1,17.0,1,2.0,2.0,3,1200.0,7.090076835776092,264.0
1,1,37.0,1,2.0,1.0,2,1280.0,7.154615356913663,240.0
2,2,39.0,1,2.0,1.0,2,1100.0,7.003065458786462,224.0
1,2,22.0,1,2.0,1.0,2,1500.0,7.313220387090301,240.0
1,2,24.0,1,1.0,1.0,2,1260.0,7.138866999945524,128.0
1,1,31.0,1,2.0,1.0,2,1600.0,7.3777589082278725,192.0
1,1,30.0,1,2.0,1.0,2,1600.0,7.3777589082278725,192.0
8,2,19.0,1,2.0,2.0,2,1120.0,7.02108396428914,288.0
1,1,55.0,1,2.0,1.0,3,1000.0,6.907755278982137,192.0
2,2,47.0,1,2.0,1.0,3,720.0,6.579251212010101,240.0
4,1,22.0,1,2.0,1.0,4,1800.0,7.495541943884256,152.0
2,1,38.0,1,2.0,1.0,4,16000.0,9.680344001221918,216.0
11,2,20.0,1,2.0,1.0,2,900.0,6.802394763324311,280.0
2,2,28.0,1,1.0,1.0,4,1120.0,7.02108396428914,288.0
1,1,33.0,1,2.0,1.0,4,1260.0,7.138866999945524,212.0
1,1,28.0,1,2.0,1.0,3,1400.0,7.24422751560335,180.0
1,2,33.0,1,2.0,1.0,4,840.0,6.733401891837359,160.0
1,1,38.0,1,2.0,1.0,3,2100.0,7.649692623711514,200.0
3,2,17.0,1,2.0,2.0,2,1500.0,7.313220387090301,60.0
2,2,28.0,1,1.0,1.0,2,1850.0,7.52294091807237,160.0
1,1,45.0,1,2.0,1.0,1,744.0,6.612041034833092,80.0
1,1,33.0,1,2.0,1.0,3,1200.0,7.090076835776092,240.0
1,1,37.0,1,1.0,1.0,3,6093.0,8.714895850248494,168.0
1,2,37.0,1,2.0,1.0,2,1200.0,7.090076835776092,288.0
1,1,35.0,1,2.0,1.0,3,1200.0,7.090076835776092,48.0
6,2,52.0,1,2.0,1.0,2,840.0,6.733401891837359,280.0
1,2,29.0,1,2.0,2.0,3,1200.0,7.090076835776092,240.0
2,1,37.0,1,2.0,1.0,3,1200.0,7.090076835776092,312.0
2,1,25.0,1,2.0,1.0,4,1200.0,7.090076835776092,288.0
7,1,22.0,1,2.0,1.0,2,750.0,6.620073206530356,192.0
